Title,Content,Tag,Time,URL
Capitol riots: FBI warnings amid fears of more pro-Trump violence," The FBI is warning of the possibility of armed protests being held across the US in the days before Joe Biden is sworn in as president.  There are reports of armed groups planning to gather at all 50 state capitols and in Washington DC in the run-up to his 20 January inauguration. The fears come as security plans are hardened for the event itself. On Monday, Mr Biden told reporters he was not afraid to take the oath of office outside of the US Capitol. Both he and Vice-President-elect Kamala Harris are still expected to be sworn in outside the building, only two weeks after it was the site of a deadly raid by radical supporters of President Donald Trump opposing the election result. Security officials are resolute there will be no repeat of the breach seen on 6 January - when thousands of pro-Trump supporters were able to break into the grounds of the complex where members of Congress were voting to certify the election result.  What is the 25th Amendment?The 65 days that led to chaos at the Capitol  Capitol riots: What's happening with arrests? Chad Wolf, acting head of the Department of Homeland Security, said Monday that he had instructed the US Secret Service to begin special operations for the inauguration on Wednesday - six days early - ""in light of events of the past week and the evolving security landscape"".  Officials say up to 15,000 National Guard troops could be made available to fortify the event. Later on Monday, Mr Wolf became the third Trump cabinet secretary to step down since the Capitol riots, after Betsy DeVos and Elaine Chao. Mr Wolf's exit plunged his department into turmoil just as it gears up to handle security for the Biden inauguration. Mr Wolf last week called on Mr Trump to ""strongly condemn"" the protesters who stormed Congress. The outgoing secretary said his departure had been prompted by ""recent events"", including court rulings challenging the legal validity of his appointment. Law enforcement around the country are said to be bracing for the possibility of further violence in the days before Joe Biden takes office.  Posts on pro-Trump and far-right online networks have called for protest action on a number of dates, including armed demonstrations in cities across the country on 17 January and a march in Washington DC on inauguration day itself.    An internal FBI bulletin, reported by ABC News and other outlets, carries a warning that one group is calling for the ""storming"" of state, local and federal courthouses around the country if Mr Trump is removed from office early and on inauguration day if he is not.  Calls for Mr Trump's resignation, removal from office or impeachment have grown among Democrats and some Republicans in the days following the riots. Local police agencies have been told by federal law enforcement to increase security at statehouses following last week's violence, according to US media.  The Reuters news agency, citing a federal law enforcement official, said the FBI warnings are in place for all state capitals from 16 to 20 January itself and in Washington DC at least three days before the inauguration.  Although the violence at the US Capitol dominated headlines last week, similar smaller incidents were reported elsewhere in the country at the same time. The US Department of Homeland Security confirmed on Monday that it would begin National Special Security Event (NSSE) operations for the inauguration six days early, starting Wednesday. The designation allows a wide range of security and law enforcement agencies to coordinate together on special protective measures, like enforcing road closures and a secure perimeter. The announcement came after Washington DC's Mayor, Ms Bowser, went public with her appeal to bolster security after what she described as an ""unprecedented terrorist attack"" at the US Capitol last week. She has also asked Americans to avoid travel to Washington DC for the event. Inaugurations traditionally draw hundreds of thousands to the streets of the capital, but the coronavirus pandemic had already curtailed those plans before security fears were heightened.  Capitol police officer hailed as a 'hero'Democrats move to impeach Trump again The Chief of the National Guard Bureau, General Daniel Hokanson, said Monday that 10,000 troops will be in Washington DC by the weekend, with about 5,000 more available if requested by local officials. Elsewhere, the National Park Service announced that it has closed the Washington Monument to visitors amid ""credible threats"" of further violence.   ""Groups involved in the January 6 2021 riots at the US Capitol continue to threaten to disrupt the 59th presidential inauguration on January 20,"" the service said in a statement, adding it could institute further temporary closures to other areas within the National Mall and Memorial Parks.  Speaking as he got his second Covid-19 vaccine on Monday, Mr Biden said he was ""not afraid"" to take his oath of office outside despite security fears. His inauguration committee has announced that the ceremony will be themed around ""America United"".  After being sworn in as president, Mr Biden is expected to take part in a wreath-laying ceremony alongside former presidents Barack Obama, George W Bush and Bill Clinton to help underscore his message of unity.  Donald Trump has said he will not attend the inauguration - becoming the first president in more than 150 years not to do so. The warnings about further pro-Trump violence come as efforts move forward to impeach the president for his role in last week's deadly invasion of the Capitol. An article filed in the House on Monday accuses Mr Trump of ""incitement of insurrection"" during a rally in which Mr Trump alleged, without evidence, that November's presidential election was ""stolen"" from him.  Democrats say a vote on the article will go ahead in the House on Wednesday unless Vice-President Mike Pence invokes constitutional powers to remove Mr Trump from office. Mr Trump has made no public statements since he was banned from several social media platforms - including Twitter - on Friday. It comes as websites and social media networks crackdown against other users and websites seen to be encouraging violence - including social network Parler, which said Monday it was suing Amazon for removing it from its web hosting service. ",BBC News - World,"Tue, 12 Jan 2021 00:26:59 GMT",https://www.bbc.co.uk/news/world-us-canada-55625707
Trump impeachment move: Democrats start push to oust US president," Democrats have introduced an article of impeachment against US President Donald Trump for his role in last week's deadly invasion of the Capitol. The article filed in the House on Monday accuses Mr Trump of ""incitement of insurrection"". Democrats say a vote on the article will go ahead in the House on Wednesday unless Vice-President Mike Pence invokes constitutional powers to remove Mr Trump from office. Mr Pence is said to oppose the idea. ""The president represents an imminent threat to our constitution, our country and the American people, and he must be removed from office immediately,"" Democratic House Speaker Nancy Pelosi said. Calls for Mr Trump's resignation, removal from office or impeachment have grown among Democrats and some Republicans in the days following the riots in Congress in which five people died. The impeachment resolution accuses the president of encouraging his supporters to storm the Capitol building at a rally in which Mr Trump alleged, without evidence, that November's presidential election was ""stolen"" from him. The White House has dismissed the impeachment threat as ""politically motivated"", but Mr Trump has made no public statements since he was banned from several social media platforms - including Twitter - on Friday. He is due to leave office on 20 January, when Democrat Joe Biden will be sworn in as president. Mr Trump has said he will not attend Mr Biden's swearing-in ceremony. What is the 25th Amendment?The 65 days that led to chaos at the Capitol  'QAnon Shaman' charged over pro-Trump riots This is the second time Democrats have pursued impeachment against President Trump in the House of Representatives, the lower chamber of Congress. In December 2019, the House impeached Mr Trump on charges of abuse of power and obstruction of Congress. But the Senate acquitted him on both charges in February 2020. No US president has ever been impeached twice. However, the prospect of an impeachment conviction is unlikely because of Mr Trump's broad Republican support in the Senate. The resolution drafted by three Democrats - who began writing it while under lockdown in the Capitol last Wednesday - consists of one article: ""Incitement of insurrection"". ""Donald John Trump engaged in high Crimes and Misdemeanours by wilfully inciting violence against the Government of the United States,"" the resolution reads. The BBC is not responsible for the content of external sites.View original tweet on Twitter In the resolution, the lawmakers accuse the president of making statements that encouraged and resulted in ""imminent lawless action at the Capitol"". The resolution also says this was ""consistent with his prior efforts to subvert and obstruct"" the certification of President-elect Biden's election win. ""He thereby betrayed his trust as President, to the manifest injury of the people of the United States,"" the resolution says. Impeachment allows Congress - the part of the US government that writes and brings in laws - to put presidents on trial. Articles of impeachment are charges brought against a president by the House. If the House votes to pass them, proceedings move to the Senate, which holds a trial to decide whether to convict or not. There is no appeal against outcome. An impeachment is a rare event and a political process, rather than a criminal one. Mr Trump was the third US president to be impeached. The two others, Bill Clinton in 1999 and Andrew Johnson in 1868, were also left in office by the Senate. President Richard Nixon resigned before he could be impeached in 1974, as political pressure built over the Watergate scandal. On Monday, the Democrats presented a resolution to formally request that Mr Pence invoke the 25th Amendment of the US Constitution, which allows the vice-president and the cabinet to declare Mr Trump unfit for office. The resolution urged Mr Pence to ""declare what is obvious to a horrified Nation: That the president is unable to successfully discharge the duties and powers of his office"". But, as expected, the resolution was not adopted by unanimous consent in the House, after Republican Alex Mooney of West Virginia objected to the request. The House has now gone into recess until Tuesday morning, when the chamber is expected to vote on the resolution. After the vote, the Democrats said they will give Mr Pence 24 hours to remove Mr Trump from office before they move toward impeachment. ""The president's threat to America is urgent, and so too will be our action,"" Speaker Pelosi said. Although Mr Pence has appeared to distance himself from the president, there is no sign that the vice-president is prepared to invoke the amendment. Impeachments are usually long, drawn-out affairs, involving investigations and hearings that can take weeks to conclude. This impeachment is expected to be much quicker.  Monday's presentation of the impeachment article to the House paves the way for a vote to be held. A simple majority in favour of impeachment in the House would trigger a trial in the Senate. However, an internal Senate memo says the soonest it could take up any articles of impeachment from the House would be on 19 January, the day before Mr Trump's term expires. The Senate is currently not in session, and all 100 senators would have to agree to change the schedule, which is highly unlikely. Constitutional experts are split on whether impeachment can still proceed to a Senate trial when Mr Trump leaves office. But Democrats appear confident that the House can impeach Mr Trump and send the articles to the Senate for a trial at a later date. On Sunday, Democratic House whip James Clyburn said the party may not send any articles to the Senate for trial until after Mr Biden's first 100 days in office. It's a new week in Washington DC, but the fallout from Wednesday's tragic events are just beginning.   With only eight days left of Mr Trump's presidency, Democrats are very aware of the disruption an impeachment and a Senate trial would cause to the early days of Mr Biden's administration. That's why there is talk of delaying Mr Trump's Senate trial until after Mr Biden's first 100 days in office.  At that point, the pressure to remove Mr Trump will be past, but other punishments - stripping him of the accommodations and privileges ex-presidents enjoy and prohibiting him from future federal office - still apply. A year ago, Senate Republicans voted as a block to acquit the president of impeachment charges. This time, however, there may be some willing to side with Democrats to make sure that Trump, once out of power, never returns again.",BBC News - World,"Mon, 11 Jan 2021 18:39:34 GMT",https://www.bbc.co.uk/news/world-us-canada-55622326
Capitol police officer Eugene Goodman hailed as 'a hero'," A US Capitol police officer is being called a hero for singlehandedly steering a mob away from the Senate chambers during the deadly riots.  Footage of the officer, identified as Eugene Goodman, shows him just steps ahead of rioters as they chase him up a flight of stairs.  Mr Goodman is then seen glancing towards the Senate entrance before luring the men in the opposite direction.  Five people, including a police officer, died as a result of the riots. FBI to probe officer's death during pro-Trump riotQuestions mount over US Capitol security failure Another officer who was on duty during the siege died by suicide this weekend, his family said.  The show of bravery from Mr Goodman, reportedly an Army veteran who spent time in Iraq, comes amid criticism of Capitol Police for apparent security failures during the storming of the Capitol.  On Monday night, the department said two of its officers had been suspended and more than a dozen others were under investigation for suspected inappropriate involvement with the rioters. New York Law School criminal law professor and 20-year veteran of the New York City Police Department Kirk Burkhalter called Mr Goodman's response to rioters ""tremendous"". ""I don't think there was any type of training that would prepare you for that situation,"" Mr Burkhalter said.  In the video shot by Huffington Post reporter Igor Bobic, Mr Goodman, who is black, is antagonised by the group of Trump supporters - who are all white men.  The BBC is not responsible for the content of external sites.View original tweet on Twitter The man at the front of the pack, wearing a QAnon T-shirt, has been identified as Doug Jensen of Iowa. He was later arrested by local police and the FBI for his role in the riots.  Footage shows Mr Jensen leading the mob that chased Mr Goodman up a flight of stairs - just a few feet away from the entrance to the Senate floor. As he is pursued, Mr Goodman shouts ""second floor!"" into his radio, seemingly alerting other officers of the group approaching the chamber.  After Mr Goodman glances toward the Senate chamber entrance, he shoves Mr Jensen - a move seemingly designed to draw attention on to himself, luring the mob away from the chambers and those hiding inside.  The image of Mr Goodman trailed by a mob - some armed with Confederate flags, others with allusions to the Nazi flag - was  extremely disturbing, Mr Burkhalter said.  ""Police officer, not a police officer, to see a black man being chased by someone carrying a Confederate flag - there is something wrong with that picture. That should never happen again,"" he said.  ""It just reeks of everything we need to correct.""   Officer Goodman has been celebrated by several members of Congress, with some calling for Mr Goodman to be awarded the congressional Medal of Honor for his service.  ""As Trump's fascist mob ransacked the US Capitol, this brave USCP officer kept murderous rioters away from the Senate chamber and saved the lives of those inside,"" wrote congressman Bill Pascal on Twitter.  ""Last Wednesday, I was inside the Senate chamber when Officer Eugene Goodman led an angry mob away from it at great personal risk. His quick thinking and decisive action that day likely saved lives, and we owe him a debt of gratitude,"" wrote Senator Bob Casey on Monday.  Mr Goodman's standoff with the mob came just minutes before authorities were able to seal the chamber, according to reporting from the Washington Post. The BBC is not responsible for the content of external sites.View original tweet on Twitter Members of the 2,000-person Capitol police department are tasked with protecting the Capitol building and those inside, it. They are separate from DC police, who patrol the rest of the city.  The chief of the Capitol Police, Steven Sund, resigned last week following criticism over his force's response to the riots, including a public call from top Democrat Nancy Pelosi for Mr Sund to step down.  Acting US Attorney Michael Sherwin has said that the Justice Department will consider pursuing criminal charges against any Capitol police officers found to be complicit with the rioters.  Officer Howard Liebengood, 51, who was on duty during the riots, died by suicide on Saturday, his family has said. A lawyer for Mr Liebengood's family called the 15-year department veteran's death a ""devastating loss"".  On Twitter, Republican Senator Mitt Romney said he and his team were ""heartbroken"" over Mr Liebengood's death. ""Howie was a familiar and cheerful presence, and also a friend to me and my staff,"" Mr Romney wrote. ""His bravery, kindness, and genuine care for others was deeply felt by all of us who had the privilege of knowing him.""  According to CBS News, the BBC's US partner, the Capitol police force has responded to a number of incidents of officers threatening to harm themselves after last week's attacks.  Mr Burkhalter said that responsibility for any security breakdowns rests with the department's leadership.  When you get to the place where individual police officers, like Officer Goodman, have to make decisions on the deployment of resources, the battle has been lost, he said. ""It should never have gotten to that point,"" he said. ",BBC News - World,"Tue, 12 Jan 2021 03:06:10 GMT",https://www.bbc.co.uk/news/world-us-canada-55623752
Cuba placed back on US terrorism sponsor list," The US has placed Cuba back on a list of state sponsors of terrorism, citing the communist country's backing of Venezuela. President Donald Trump's administration made the announcement just days before he leaves the White House. President-elect Joe Biden, who takes office on 20 January, has previously said he wants to improve US-Cuban relations. Cuba called the move ""political opportunism"". Mr Biden has said he is seeking closer ties between the long-term adversaries but Mr Trump's decision is likely to hinder a quick repair of relations.  Cuba's place on the list will require a formal review that could take months, analysts say. The Caribbean island was removed from the list by President Barack Obama in 2015, but Mr Trump has taken a harder line towards the country. What Biden's victory means for the rest of the worldKey moments explaining tense Cuba-US relationshipThe man who saved Old Havana from decay When explaining the decision, officials cited Cuba's support of Venezuelan leader Nicolas Maduro who the US refuses to recognise. ""With this action, we will once again hold Cuba's government accountable and send a clear message: the Castro regime must end its support for international terrorism and subversion of US justice,"" US Secretary of State Mike Pompeo said in a statement on Monday. In response, Cuban Foreign Affairs Minister Bruno Rodriguez tweeted: ""We condemn the cynical and hypocritical qualification of Cuba as a state sponsor of terrorism, announced by the United States."" In advance of the announcement, House Democrat Gregory Meeks called it ""another stunt by President Trump and Pompeo, trying to tie the hands of the incoming Biden administration on their way out the door."" Mr Biden's plans included allowing Cuban-Americans to visit family and send money.  President Obama normalised relations with Cuba in 2015. He called the decades-long US efforts to isolate the country ""a failure"". Since the Cold War era, the US had pursued various policies to undermine Cuba which it saw as a great threat. Cuba now rejoins countries including Iran and North Korea on the list of sponsors of terrorism. The impact on the island country include severe limits on foreign investment.",BBC News - World,"Mon, 11 Jan 2021 23:47:26 GMT",https://www.bbc.co.uk/news/world-latin-america-55627032
Stammering: 'I thought it made me a failure', Next week Joe Biden will be inaugurated as the 46th President of the United States. He will also become the first president to have a stammer. Itâs a condition that affects around 1.5 million adults across the UK. The BBCâs Felicity Baker reports on what itâs like to live with this often hidden disability. Produced by Tony Dolce and Emily Brooks,BBC News - World,"Tue, 12 Jan 2021 00:03:58 GMT",https://www.bbc.co.uk/news/uk-55620280
Bill Belichick: NFL coach turns down Presidential Medal of Freedom," Top NFL coach Bill Belichick says he will not accept President Donald Trump's offer of the Presidential Medal of Freedom, citing the US Capitol riot. Belichick, of the New England Patriots, said he was flattered when he was first offered the medal - the top award given to civilians in the US. But he said he changed his mind after a mob of Trump supporters stormed Congress last week. Five people died. The celebrated coach had previously spoken of his friendship with Mr Trump. ""Recently, I was offered the opportunity to receive the Presidential Medal of Freedom, which I was flattered by out of respect for what the honour represents and admiration for prior recipients,"" Belichick said in a statement.  ""Subsequently, the tragic events of last week occurred and the decision has been made not to move forward with the award.""  Belichick, who has won a record six Super Bowl titles, is considered one of the most successful coaches in NFL history. The Presidential Medal of Freedom recognises individuals who have made outstanding contributions to ""the security or national interests of America"". In 2019 Mr Trump gave the award to golfer Tiger Woods, as well as radio personality Rush Limbaugh and posthumously Elvis Presley.",BBC News - World,"Tue, 12 Jan 2021 02:23:37 GMT",https://www.bbc.co.uk/news/world-us-canada-55627873
Brexit: UK driver has ham sandwiches confiscated at Dutch border," A Dutch TV network has filmed border officials confiscating ham sandwiches and other foods from drivers arriving in the Netherlands from the UK, under post-Brexit rules. The officials were shown explaining import regulations imposed since the UK formalised its separation from the EU. Under EU rules, travellers from outside the bloc are banned from bringing in meat and dairy products. The rules appeared to bemuse one driver. ""Since Brexit, you are no longer allowed to bring certain foods to Europe, like meat, fruit, vegetables, fish, that kind of stuff,"" a Dutch border official told the driver in footage broadcast by TV network NPO 1. In one scene, a border official asked the driver whether several of his tin-foil wrapped sandwiches had meat in them.  When the driver said they did, the border official said: ""Okay, so we take them all."" Surprised, the driver then asked the officials if he could keep the bread, to which one replied: ""No, everything will be confiscated - welcome to the Brexit, sir. I'm sorry."" The UK officially finished its formal separation from the EU on 31 December, 2020. From 23:00 GMT on that date, the UK stopped following EU rules, with new arrangements for travel, trade, immigration and security co-operation coming into force. A trade deal with the EU was agreed on 24 December, and a week later, UK lawmakers voted in favour of the agreement. The UK's departure means big changes for business - with the UK and EU forming two separate markets - the end of free movement, and new regulations, including those governing the import of personal goods. Boris Johnson hails free trade deal with EUWhat are the key points of the Brexit deal?Are the borders ready? The UK government has issued guidance to commercial drivers travelling to the EU, warning them to ""be aware of additional restrictions to personal imports"". ""You cannot bring POAO (products of an animal origin) such as those containing meat or dairy (e.g. a ham and cheese sandwich) into the EU,"" the guidance says. ""There are exceptions to this rule for certain quantities of powdered infant milk, infant food, special foods, or special processed pet feed."" On its website, the European Commission says the ban is necessary because such goods ""continue to present a real threat to animal health throughout the Union"". ""It is known, for example, that dangerous pathogens that cause animal diseases such as Foot and Mouth Disease and classical swine fever can reside in meat, milk or their products,"" the Commission says. Separately, the Dutch customs agency shared a picture of foodstuffs it had confiscated from motorists in the ferry terminal the Hook of Holland.  ""Since 1 January, you can't just bring more food from the UK,"" the agency said. ""So prepare yourself if you travel to the Netherlands from the UK and spread the word. This is how we prevent food waste and together ensure that the controls are speeded up."" The BBC's economics editor Faisal Islam described the confiscation of ham sandwiches and other foodstuffs at the EU's borders with the UK as ""a standard implication of [the] Brexit deal"". The BBC is not responsible for the content of external sites.View original tweet on Twitter",BBC News - World,"Mon, 11 Jan 2021 22:57:49 GMT",https://www.bbc.co.uk/news/world-europe-55622331
Pope Francis backs women's roles in Catholic services," Pope Francis has formally changed the law in the Roman Catholic Church, allowing women to administer communion and serve at the altar. But the ordained priesthood will still be the preserve of men, he stressed in the decree. It is official recognition of roles already performed by women in some Catholic services, especially in Western countries. The Pope said women were making a ""precious contribution"" to the Church. The announcement is expected to force conservative Church leaders to accept greater involvement of women in the liturgy. On the more reformist wing of the Church, Pope Francis has tried to present a more welcoming image through his rhetoric, the BBC's Mark Lowen reports from Rome.  But last year, after a synod to decide whether to allow women to become deacons able to preside over some Church services, the Pope refused to make the change, frustrating some who had hoped for more fundamental reform during his pontificate. The Pope changed a clause in canon law from ""lay men"" to ""lay persons"", specifying that they can perform ""the ministries of lector and acolyte"" in Catholic services. His decree, called a Spiritus Domini, was accompanied by a letter explaining ""the urgency... to rediscover the co-responsibility of all of the baptised in the Church, and the mission of the laity in a particular way"". A lector in the Catholic Church can recite prayers and sacred texts such as psalms during Mass and other services, but gospel readings are done by the priest or deacon. An acolyte assists the priest or deacon at the altar and can distribute the Eucharist - the symbolic bread and wine - during Mass. More on Pope Francis and the Vatican: Vatican says Covid vaccines 'morally acceptable' Pope indicates support for same-sex civil unions",BBC News - World,"Mon, 11 Jan 2021 17:12:05 GMT",https://www.bbc.co.uk/news/world-europe-55617851
California prison break: Six inmates on run after improvised rope escape," Six inmates are on the run after breaking out of a California jail in the United States over the weekend using an improvised rope. Dozens of investigators are scouring the region looking for them.  Law enforcement officials warned the public that they should be considered ""armed and dangerous"". One of them was being held on a murder charge. The jail break happened late on Saturday night, according to Merced County Sheriff Vernon Warnke.  The fugitives are thought to have managed to get on to the roof of Merced County Downtown Jail in central California and used braided sheets to escape. But guards did not realise the men were missing until the next morning. The inmates include Fabian Cruz Roman, 22, who is charged with murder, and Andres Nunez Rodriguez, 21, and Gabriel Francis Coronado, 19, who are both charged with attempted murder. ""They're not going to be out there trying to sell Girl Scout Cookies. They're going to try and get away from this area, I believe, as fast as they can,"" Mr Warnke said. The sheriff has assembled a taskforce to try to track them down. According to the San Francisco Chronicle newspaper, Mr Warnke told reporters the only other escape he remembered during his 41-year career with the Merced Sheriff's office was decades ago when a prisoner was smuggled out in a laundry basket.",BBC News - World,"Mon, 11 Jan 2021 14:44:17 GMT",https://www.bbc.co.uk/news/world-us-canada-55617119
Sri Lanka: Tamil war monument to be rebuilt after hunger strike," A monument in Sri Lanka to commemorate the tens of thousands of Tamils who died in the civil war is to be rebuilt following a hunger strike by students protesting at its demolition. The memorial to Tamils who lost their lives in Mullivaikkal was demolished at Jaffna University last week. The University Grants Commission (UGC) had said that the monument was a threat to unity in the country. But angry students protested and went on hunger strike over its demolition. Now the monument is to be rebuilt, said the university's vice-chancellor, who laid a foundation stone on Monday. The monument was built in 2019 in memory of Tamils who lost their lives in the 26-year civil war between government forces and the Tamil Tiger rebel group.  Tens of thousands of minority Tamils died in Mullivaikkal in 2009 during the final stages of the war, which claimed an estimated 100,000 lives. The monument was knocked down on Friday, with UGC Chairman Sampath Amaratunge saying it was a threat to national unity in Sinhalese majority Sri Lanka. Public Security Minister Sarath Weerasekera said that ""no one will and should be allowed to commemorate dead terrorists"". In response, students started protesting at the university gates and some went on hunger strike, calling for the monument to be restored. There were threats of a general strike in areas where Tamils are a majority.  Sri Lanka's war 10 years on: Finding Father FrancisMass grave: Dozens of skeletons found in MannarThe broken survivors of Sri Lanka's civil war ""This act is an insult not only to the university students but also to the entire Tamil people. It is also an act of denial of a people's right to memory,"" the university's students' union said in a statement. Union leader Pakianathan Uyanthan told BBC Tamil's Arun Prasad in Jaffna: ""We have the right to mourn for our loved ones, who perished in the war. These people sacrificed their lives for the Tamil community. ""We are extremely pained by the demolition of this monument."" The BBC is not responsible for the content of external sites.View original tweet on Twitter One of the strikers fell ill over the weekend, the Tamil Guardian reported. There was a backlash internationally, too, particularly in the southern Indian state of Tamil Nadu. In Toronto, Tamil Canadians held a car rally to condemn the destruction. The monument is now to be restored. The university's vice chancellor, S Srisatkunarajah, met the hunger strikers early on Monday and gave each of them a cup of porridge to end their protest. Mr Srisatkunarajah told the BBC that a new ""peace monument"" would be erected in the same location. He said he had been ""blamed for the demolition"", adding that the monument was removed as it had not been authorised.  A student at the university, Dwakaran, said the announcement of the new monument meant protests had been suspended. ""But if the memorial is not built again we will resume our protest,"" the student said. It is as yet unclear whether formal permission has been granted by the central government or the UGC to build the new monument, but the Tamil Guardian reported the vice chancellor saying the rebuilding was taking place on the government's orders. After finishing the ceremony, the Sri Lankan police attempted to make students write down their personal details as they left, the newspaper reported. When the students refused, the police reportedly said it was due to coronavirus guidelines. All students were allowed to leave after Mr Srisatkunarajah intervened, it said.  The Tamil Tigers controlled around a third of Sri Lanka before they were crushed in 2009. Sri Lanka's current President Gotabaya Rajapaksa was the country's defence secretary then and played a leading role in crushing the rebels. He is hailed as a hero by many in the Sinhalese population but deeply distrusted by the Tamil community, many of whom accuse the government of denying them the right to remember their war dead.",BBC News - World,"Mon, 11 Jan 2021 18:08:13 GMT",https://www.bbc.co.uk/news/world-asia-55620079
